code,name,category,unit,avg_price,market_price,supermarket_price,pref_key
C001,계란,단백질,30개,7200,6800,7500,protein
C002,두부,단백질,300g,1500,1200,1600,protein
C003,돼지고기앞다리,단백질,100g,1500,1350,1650,protein
C004,닭가슴살,단백질,100g,1800,1600,2000,protein
C005,콩나물,채소,200g,900,750,1000,veggie
C006,애호박,채소,1개,1500,1200,1700,veggie
C007,양파,채소,1kg,2200,1800,2500,veggie
C008,대파,채소,1단,2500,2000,2800,veggie
C009,배추,채소,1포기,3800,3200,4200,veggie
C010,시금치,채소,200g,2800,2200,3100,veggie
C011,쌀,탄수화물,1kg,3500,3200,3800,carb
C012,감자,탄수화물,1kg,3000,2600,3400,carb
C013,고구마,탄수화물,1kg,4500,3800,5000,carb
C014,사과,과일,3개,6500,5800,7200,fruit
C015,바나나,과일,1송이,3500,3000,4000,fruit
C016,참기름,양념,180ml,7500,6800,8500,sauce
C017,고추장,양념,500g,4800,4200,5500,sauce
C018,된장,양념,500g,4200,3700,4800,sauce
C019,간장,양념,500ml,3800,3300,4200,sauce
C020,두유,가공식품,190ml×6,5500,4800,6000,processed
