id,name,type,gu,lat,lng,certified,desc
S001,광장시장,전통시장,종로구,37.5701,126.9993,True,서울 4대 전통시장 빈대떡·육회 유명
S002,마포농수산물시장,전통시장,마포구,37.5448,126.9475,True,수산물 전문 도소매 시장
S003,망원시장,전통시장,마포구,37.5560,126.9047,True,SNS 유명 서울 감성 전통시장
S004,통인시장,전통시장,종로구,37.5787,126.9681,True,도시락카페·기름떡볶이 유명
S005,남대문시장,전통시장,중구,37.5590,126.9768,True,대한민국 대표 도소매 전통시장
S006,경동시장,전통시장,동대문구,37.5798,127.0436,True,한약재·건어물·청과 집산지
S007,노량진수산시장,전통시장,동작구,37.5129,126.9428,True,새벽 수산물 경매·직거래
S008,이대 착한가격식당,착한가격업소,서대문구,37.5554,126.9458,True,구청 인증 착한가격업소
S009,은평 로컬푸드,로컬푸드,은평구,37.6022,126.9234,True,경기 로컬푸드 직매장
S010,성동 로컬푸드,로컬푸드,성동구,37.5471,127.0390,True,도시농업 연계 직거래 매장
S011,합정 착한가격마트,착한가격업소,마포구,37.5494,126.9147,True,소상공인진흥공단 인증
S012,청량리청과물시장,전통시장,동대문구,37.5891,127.0479,True,과일·채소 도매 거점
